Word,Definition
arrears,apak pando peľks (jarmak)
arrest,pekstams
arrest,kundams (milicija)
arrival,pačkodema; samo
arrive,pačkodems; sams
arrogance,nereń kepedema
arrogant,nereń kepedi
arrow,nal
arsenal,lednemapeleń vanstoma tarka
arson,jakstereatäkšoń noldnema
art,hudožestva
artery,sedejsan
arthritis,ezneń targoźks
article,(gazetaso) staťja;  (grammatikań) artikla
articulate,čaŕkodeviksstë jovtams
artificial,iskusstvennoj
artillery,artilerija
artist,hudožnik
artistic,hudožestvennoj
as,-ks; koda; prok
as,koda
as ... as ...,istämo... koda
as far as,vids
as soon as,kodak
ascend,kuzems
ash,1. (from burning) kulov 2. (rowan) piźolks
ashamed,vizdicä; viźks čamas sovaź
ashore,moda langso
ashtray,pepeľnica; kulovdiŕks
ask,kevkstems
asparagus,veduntikše
asphalt,asfaľt
asphyxiate,lepijavtoms
asphyxiation,lepijamo
aspirin,aspirin
assassin,politikeń maštïcä
assassinate,kulovtoms; maštoms (politik)
assassination,politikeń maštoma
assault,kiń langs kajavoma
assault,kajavoms (someone ki langskak)
assemble,puromoms; puromtoms
assembly,promks
assert,aštems (a čumočinzë) kisë
assertion,eś pravanzo kisë aštema
assertive,eś pravanzo kisë ašticä
assess,vannoź pitne putoms
assessment,pitneń putoma; pitneń maksoma
assets,(property) uliparo
assign,aravtoms (kińgak); maksoms
assignment,aravtoma; maksoma
assist,lezdams
assistance,lezdamo; lezks
assistant,lezdïcä
associate,važodi jalga
association,vejsëndävks; arsemań śulmavoma
assorted,eŕva kodat
assortment,mezde kočkams; kočkavks
assume,arsems; tejems gipoteza
assumption,gipoteza; arsevks
assurance,kemevtema
assure,kemevtems
asterisk,teštine
asthma,astma
astonishing,divavtïcä
astonishment,divavtoma; divazevema
astound,divavtoms
astray,jonksoń jomavtoź
astrology,astrologija
astronaut,astronavt
astronomy,astronomija
asylum,präń kekšema tarka
at,1. -so\-së 2. langs
atheism,atejizma
atheist,atejist; paznëń akemicä
athlete,atlet
atlas,atlas
atmosphere,atmosfera; košt
atom,atom
atomic,atomoń
attach,śulmams
attack,1. (medical) kurodoma; pristup 2. (military) kajavoma
attack,kajavoms (someone kiń langskak)
attempt,varčavks
attempt,varčams; snartnems; bažams
attend,1. jakams (školav) 2. jakams kiń-buti meľga
attendance,jakamo
attendant,meľga jakicä; meľga vanïcä
attention,meleń javoma
attentive,meleń javicä
attest,pškadems mezeń kisëjak
attic,kudopotmar
attitude,vanovks
attorney,advokat; ablokat
attract,terdems; manäms (estenzë); ulems medsë vadneź
attraction,(physical) atrakcija
attractive,medsë vadneź
auction,aukcion
audibly,marämga
audience,vanïcät
audit,inspektirovams (sčot); kunsoloms lekcija serija
audition,scena langslisemań varčavks
auditorium,(lekcijań) zal
augment,1. kasoms 2. kastoms
aunt,(sïre) patä
authentic,avtentičeskoj; alkuksoń; vide
authenticate,nevtems alkuksoń - araś
author,avtor; śormadïcä
authorities,vlasteń lomanť
authority,avtoritet
authorization,polnomočija
authorize,maksoms polnomočija
autograph,avtograf; keďputoma
automate,avtomatizirovams
automatic,sonś moli; avtomatikań
automation,avtomacija
automobile,mašina
autonomous,avtonomijań
autonomy,avtonomija
autopsy,kulïcäń potmoń vannoma
autumn,śokś
availability,keďmalasoksči
available,keďmalaso; mujevicä
avalanche,lavina; modań pramo
avenge,pandoms kež
avenue,alleja; buľvar
average,kunškaviďgań
average,kunškaviď(ga)
aversion,nulgodema
avert,kardams
aviation,aviacija
avid,(enjoyable) sedejškavań
avoid,jutams vakska; a vastoms
avoidable,vakska jutaviks
avoidance,vakska jutamo
await,učoms
awake,sïrgozeź
awake,sïrgozems
award,lovmo; kazne
award,kaznems lovmoso
aware,(mezde-buti) sodïcä
awareness,(mezde-buti) sodamo
away,avoľ tarkasonzo
awful,berändejak beräń
awkward,(clumsy) čuvtola; ??ćolak
awning,naves; šaršav
axe,uzere
axis,1. (mastoroń) peťkeľ; oś 2. (ulavoń) peťkeľ
ABC's,alfavit
Africa,Afrika
African,Afrikań
African,Afrikań lomań
America,Amerika
American,Amerikań
American,Amerikań lomań
Antarctica,Antarktida
April,čadïkov; nilece kov
Arctic Ocean,pele ve jonksoń ineveď
Asia,Azija
Asian,Azijań
Asian,Azijań lomań
Atlantic Ocean,Atlantika ineveď
August,umaŕkov; kavksoce kov
Australia,Avstralija
Australian,Avstralijań
Australian,Avstralijań lomań
baboon,babujin
baby,ejde (pek višine)
bachelor,apak uŕvaksto ćora
back,udalce
back,1. (body) kuťmere; kopoŕ 2. (location) (zaloń) udalks
back,(support) maksoms neže; aštems kiń jonojak
back,mekev
backbone,karäzt
background,meze udalonzo; kosto moli
backpack,ŕukzak
backwards,mekevlangt
bacon,bekon
bacteria,bakterija
bad,beräń; kaľdäv
badge,značok
badly,pek
badminton,badminton
baffle,tajmazkavtnems
bag,keskav; judma
baggage,kilangoń keskavt-mezť
baggy,pek pokšt (oršamopeľde)
bail,zalog; vedraveďme
bailiff,sudoń pristav
bait,(kaloń kundsemaso) manämka
bake,panems
baker,(kšiń) panicä
bakery,panema kudo
baking powder,??panema počt
balance,(remainder) balans
balance,vejketäms
balcony,balkon
bald,kokša; čerteme; kepe prä
ball,oska; toko; mećke
ballerina,balerina
balloon,puzïŕ
ballot,vajgeleń kajamo końov
bamboo,bambuk
ban,kardamo
ban,kardams
banana,banan
band,(strip) kiks
bandage,plastïŕ
bandit,salï vor
bangs,čolka
banish,panems
banister,kuztema keďkundamo; perila
bank,1. (money) bank 2. (river) lej čire; beŕok
banker,bankir
bankrupt,obankrotovaź
bankruptcy,bankrotstva
baptism,lemdema (ceŕkovań)
baptize,lemdems
bar,1. (ban) zapret 2. (place) bar 3. (rod) polosa 4. (window) cindeŕ
bar,1. (ban) a noldams; a merems 2. (window) cinderdams
bar of chocolate,??šokolad laznë
barbarian,varvar
barbaric,varvaroń
barber,(ćorań) narïj; parekmaher
bare,štapo
barefoot,kepe
barely,eľ-eľ
bargain,(price) paro pitne (alamo)
barge,barža
bark,1. (dog) ongoma 2. (tree) sud; keŕ
bark,ongoms
barley,šuž
barn,kardo; latoalks
barracks,barak
barrel,(container) paŕ
barren,besplodnoj
barricade,barikada
barrier,barjer
barrister,advokat
bartender,barmen
barter,tejems barter
base,1. (bottom) potmaks 2. (foundation) alks; jurt 3. (military) garnizon
baseball,bejsbol
basement,kaśka
bashful,lomande pelicä
basic,prävt(oks)
basically,v osnovnom
basin,bassejna
basis,ušodks; jur
basket,pargo
basketball,basketbol
bat,(animal) kednimiläv; kednarmuń
bath,vanna
bathe,1. ekšeläms 2. ekšelävtoms
bathrobe,halat
bathroom,vannoj
bathtowel,nardamo (pokš)
bathtub,vanna
battery,batarejka
battle,ťurema
battlefield,ťurema paksä; tortinge
battleship,vojovamoń venč
bay,veď-ulo; vedśuro
bayonet,nožna; štïk
bazaar,bazar
be,(kopula); ulems
beach,veď čire
beacon,signal tol
beak,(narmuneń) neŕ; kuvo
beam,(wood) čočko; pajme
